product_id,product_title,rating,total_reviews,price,top_reviews
itm4f25cec0bd003,"Currently unavailable
Add to Compare
Apple iPhone 16 Pro (Desert Titanium, 256 GB)
4.728,729 Ratings & 1,278 Reviews
256 GB ROM
16.0 cm (6.3 inch) Super Retina XDR Display
48MP + 48MP + 12MP | 12MP Front Camera
A18 Pro Chip, 6 Core Processor Processor
1 year warranty for phone and 1 year warranty for in Box Accessories.
₹1,19,900
Upto 
₹43,650
 Off on Exchange
Bank Offer",4.7,"728,729","₹1,19,900",No reviews found
itmb68208e35881b,"Currently unavailable
Add to Compare
Apple iPhone 16 Pro (White Titanium, 1 TB)
4.728,729 Ratings & 1,278 Reviews
1 TB ROM
16.0 cm (6.3 inch) Super Retina XDR Display
48MP + 48MP + 12MP | 12MP Front Camera
A18 Pro Chip, 6 Core Processor Processor
1 year warranty for phone and 1 year warranty for in Box Accessories.
₹1,59,900
Upto 
₹43,650
 Off on Exchange
Bank Offer",4.7,"728,729","₹1,59,900",No reviews found
